node_id,arrival_rise_s,arrival_fall_s,slack_rise_setup_max_s,slack_fall_setup_max_s,required_rise_setup_max_s,required_fall_setup_max_s,arrival_setup_scalar_s,slack_setup_scalar_s,required_setup_scalar_s,is_arrival_inf,is_slack_inf
0,3.064675180297627e-10,3.0812202789221033e-10,2.3778973234911405e-10,2.292322442976058e-10,5.442572503788767e-10,5.373542721898161e-10,3.0812202789221033e-10,2.292322442976058e-10,5.373542721898161e-10,0,0
1,3.0642588466633924e-10,3.0808278150828983e-10,2.3778973234911405e-10,2.292322442976058e-10,5.442156170154533e-10,5.373150258058956e-10,3.0808278150828983e-10,2.292322442976058e-10,5.373150258058956e-10,0,0
2,3.4691494121830146e-10,2.9884611452146714e-10,1.9673884743554026e-10,2.407930521641788e-10,5.436537886538417e-10,5.396391666856459e-10,3.4691494121830146e-10,1.9673884743554026e-10,5.436537886538417e-10,0,0
3,3.468814124829578e-10,2.9881472296544587e-10,1.9673884743554026e-10,2.407930799197544e-10,5.43620259918498e-10,5.396078028852003e-10,3.468814124829578e-10,1.9673884743554026e-10,5.43620259918498e-10,0,0
4,3.150915917071728e-10,3.4722921760099723e-10,2.287582623328177e-10,1.9255827488073862e-10,5.438498540399905e-10,5.397874924817359e-10,3.4722921760099723e-10,1.9255827488073862e-10,5.397874924817359e-10,0,0
5,3.150732730272665e-10,3.472120924108424e-10,2.287582623328177e-10,1.92558247125163e-10,5.438315353600842e-10,5.397703395360054e-10,3.472120924108424e-10,1.92558247125163e-10,5.397703395360054e-10,0,0
6,1.799471266439312e-10,1.8989497474475314e-10,1.5335667458149516e-10,1.4471647491465234e-10,3.3330380122542635e-10,3.346114496594055e-10,1.8989497474475314e-10,1.4471647491465234e-10,3.346114496594055e-10,0,0
7,1.8032650372923342e-10,1.9024683217683247e-10,2.2973631330636124e-10,2.4970081557995627e-10,4.1006281703559466e-10,4.3994764775678874e-10,1.9024683217683247e-10,2.2973631330636124e-10,4.199831454831937e-10,0,0
8,1.807596156089275e-10,1.906448748867362e-10,2.944393062698225e-10,2.795740305927552e-10,4.7519892187875e-10,4.702189054794914e-10,1.906448748867362e-10,2.795740305927552e-10,4.702189054794914e-10,0,0
9,1.8045802352428808e-10,1.9036554277374051e-10,2.947255217655709e-10,2.7979324412896744e-10,4.75183545289859e-10,4.70158786902708e-10,1.9036554277374051e-10,2.7979324412896744e-10,4.70158786902708e-10,0,0
10,1.8084883590674394e-10,1.9072686485710477e-10,2.9232105624998894e-10,2.780761731990822e-10,4.731698921567329e-10,4.68803038056187e-10,1.9072686485710477e-10,2.780761731990822e-10,4.68803038056187e-10,0,0
11,1.8093190834456152e-10,1.9080313717889652e-10,2.957285805127441e-10,2.8087887571359715e-10,4.766604888573056e-10,4.716820128924937e-10,1.9080313717889652e-10,2.8087887571359715e-10,4.716820128924937e-10,0,0
12,1.8094072073981948e-10,1.9081118629582505e-10,2.9390301303777733e-10,2.7912833155951944e-10,4.748437337775968e-10,4.699395178553445e-10,1.9081118629582505e-10,2.7912833155951944e-10,4.699395178553445e-10,0,0
13,1.8044542249295858e-10,1.9035305276471348e-10,2.619823802341159e-10,2.4856772196102384e-10,4.424278027270745e-10,4.389207747257373e-10,1.9035305276471348e-10,2.4856772196102384e-10,4.389207747257373e-10,0,0
14,1.7970196164451835e-10,1.8966767045824895e-10,1.5335667458149516e-10,1.4471646103686453e-10,3.330586362260135e-10,3.343841314951135e-10,1.8966767045824895e-10,1.4471646103686453e-10,3.343841314951135e-10,0,0
15,4.95782415121937e-10,4.787188978561119e-10,5.029482386120776e-11,6.24124640857815e-11,5.460772389831448e-10,5.411313619418934e-10,4.95782415121937e-10,5.029482386120776e-11,5.460772389831448e-10,0,0
16,4.957644295089381e-10,4.787020779772888e-10,5.029482386120776e-11,6.24124640857815e-11,5.460592533701458e-10,5.411145420630703e-10,4.957644295089381e-10,5.029482386120776e-11,5.460592533701458e-10,0,0
17,4.923751961705136e-10,4.786562257663718e-10,5.3015813961110325e-11,6.16751094639767e-11,5.453910101316239e-10,5.403313352303485e-10,4.923751961705136e-10,5.3015813961110325e-11,5.453910101316239e-10,0,0
18,4.923493279740399e-10,4.786319118821325e-10,5.3015813961110325e-11,6.16751094639767e-11,5.453651419351502e-10,5.403070213461092e-10,4.923493279740399e-10,5.3015813961110325e-11,5.453651419351502e-10,0,0
19,4.911721585010298e-10,4.784779794597682e-10,5.473443920323007e-11,6.24186813347194e-11,5.459065977042599e-10,5.408966607944876e-10,4.911721585010298e-10,5.473443920323007e-11,5.459065977042599e-10,0,0
20,4.911277495800448e-10,4.784361240517399e-10,5.473443920323007e-11,6.24186813347194e-11,5.458621887832749e-10,5.408548053864592e-10,4.911277495800448e-10,5.473443920323007e-11,5.458621887832749e-10,0,0
21,4.903962236291193e-10,4.778277218342453e-10,5.516348489109646e-11,6.270256536211605e-11,5.455597085202157e-10,5.405302871963613e-10,4.903962236291193e-10,5.516348489109646e-11,5.455597085202157e-10,0,0
22,4.903646377840687e-10,4.777981899017902e-10,5.516348489109646e-11,6.270256536211605e-11,5.455281226751652e-10,5.405007552639063e-10,4.903646377840687e-10,5.516348489109646e-11,5.455281226751652e-10,0,0
23,5.010942771832561e-10,4.863667246723935e-10,4.480027460118663e-11,5.454314777608715e-11,5.458945517844427e-10,5.409098724484807e-10,5.010942771832561e-10,4.480027460118663e-11,5.458945517844427e-10,0,0
24,5.010682424533286e-10,4.863422997658517e-10,4.480027460118663e-11,5.454314777608715e-11,5.458685170545152e-10,5.408854475419389e-10,5.010682424533286e-10,4.480027460118663e-11,5.458685170545152e-10,0,0
25,4.960135080445127e-10,4.823402233178342e-10,4.992661839509083e-11,5.866152008593417e-11,5.459401264396035e-10,5.410017434037684e-10,4.960135080445127e-10,4.992661839509083e-11,5.459401264396035e-10,0,0
