node_id,arrival_rise_s,arrival_fall_s,slack_rise_setup_max_s,slack_fall_setup_max_s,required_rise_setup_max_s,required_fall_setup_max_s,arrival_setup_scalar_s,slack_setup_scalar_s,required_setup_scalar_s,is_arrival_inf,is_slack_inf
0,3.34766159237887e-10,3.4309155516609735e-10,1.2049228281796331e-10,1.0552242413197632e-10,4.552584420558503e-10,4.4861397929807367e-10,3.4309155516609735e-10,1.0552242413197632e-10,4.4861397929807367e-10,0,0
1,3.347473687131952e-10,3.430738748644302e-10,1.2049228281796331e-10,1.0552242413197632e-10,4.5523965153115853e-10,4.485962989964065e-10,3.430738748644302e-10,1.0552242413197632e-10,4.485962989964065e-10,0,0
2,3.869811415757596e-10,3.4775296531286415e-10,6.722070122755497e-11,1.0284201268362381e-10,4.5420184280331455e-10,4.5059497799648796e-10,3.869811415757596e-10,6.722070122755497e-11,4.5420184280331455e-10,0,0
3,3.869327358518859e-10,3.4770733514655205e-10,6.722070122755497e-11,1.0284201268362381e-10,4.541534370794409e-10,4.5054934783017586e-10,3.869327358518859e-10,6.722070122755497e-11,4.541534370794409e-10,0,0
4,3.50236867285858e-10,3.8679409675168586e-10,1.0420198037763839e-10,6.399719643113144e-11,4.544388476634964e-10,4.507912931828173e-10,3.8679409675168586e-10,6.399719643113144e-11,4.507912931828173e-10,0,0
5,3.5019556698934196e-10,3.8675518343467274e-10,1.0420198037763839e-10,6.399719643113144e-11,4.5439754736698035e-10,4.507523798658042e-10,3.8675518343467274e-10,6.399719643113144e-11,4.507523798658042e-10,0,0
6,2.377260888142274e-10,2.2933818732973066e-10,1.290054452152134e-10,1.3589765424093514e-10,3.667315340294408e-10,3.652358415706658e-10,2.377260888142274e-10,1.290054452152134e-10,3.667315340294408e-10,0,0
7,2.383931108074222e-10,2.2995869097819366e-10,9.831546687877335e-11,1.2681472538744742e-10,3.3670857768619555e-10,3.567734163656411e-10,2.383931108074222e-10,9.831546687877335e-11,3.3670857768619555e-10,0,0
8,2.3794155534773154e-10,2.2953455802721123e-10,1.433816121387821e-10,1.545167604977138e-10,3.813231674865136e-10,3.84051318524925e-10,2.3794155534773154e-10,1.433816121387821e-10,3.813231674865136e-10,0,0
9,2.380651231703723e-10,2.296502710219528e-10,1.3475517923744462e-10,1.448327291431184e-10,3.7282030240781694e-10,3.744830001650712e-10,2.380651231703723e-10,1.3475517923744462e-10,3.7282030240781694e-10,0,0
