node_id,arrival_rise_s,arrival_fall_s,slack_rise_setup_max_s,slack_fall_setup_max_s,required_rise_setup_max_s,required_fall_setup_max_s,arrival_setup_scalar_s,slack_setup_scalar_s,required_setup_scalar_s,is_arrival_inf,is_slack_inf
0,3.7974598465773113e-10,3.6441261119790624e-10,1.2017728479030154e-10,1.2944151306371054e-10,4.999232694480327e-10,4.938541242616168e-10,3.7974598465773113e-10,1.2017728479030154e-10,4.999232694480327e-10,0,0
1,3.797170078367884e-10,3.643853552226517e-10,1.2017728479030154e-10,1.2944151306371054e-10,4.9989429262709e-10,4.938268682863622e-10,3.797170078367884e-10,1.2017728479030154e-10,4.9989429262709e-10,0,0
2,4.757136906619053e-10,3.9471875767915776e-10,2.7309488004334526e-11,1.0311618225955499e-10,5.030231786662398e-10,4.978349399387128e-10,4.757136906619053e-10,2.7309488004334526e-11,5.030231786662398e-10,0,0
3,4.756758875679168e-10,3.9468325829794537e-10,2.7309488004334526e-11,1.031162100151306e-10,5.029853755722513e-10,4.97799468313076e-10,4.756758875679168e-10,2.7309488004334526e-11,5.029853755722513e-10,0,0
4,3.6511016432427823e-10,4.5134773696275943e-10,1.359755641416882e-10,4.565642308662632e-11,5.010857284659664e-10,4.970041600493857e-10,4.5134773696275943e-10,4.565642308662632e-11,4.970041600493857e-10,0,0
5,3.6506775380473755e-10,4.5130765791157046e-10,1.359755641416882e-10,4.565642308662632e-11,5.010433179464258e-10,4.969640809981968e-10,4.5130765791157046e-10,4.565642308662632e-11,4.969640809981968e-10,0,0
6,2.8148783304260405e-10,2.249902764095424e-10,7.845124549987759e-11,1.334654886608888e-10,3.5993907854248164e-10,3.584557650704312e-10,2.8148783304260405e-10,7.845124549987759e-11,3.5993907854248164e-10,0,0
7,2.8169103161168607e-10,2.251852870838178e-10,1.0577869136163542e-10,1.6379389511378406e-10,3.874697229733215e-10,3.8897918219760186e-10,2.8169103161168607e-10,1.0577869136163542e-10,3.874697229733215e-10,0,0
8,2.811925414736294e-10,2.2473981009518695e-10,1.0070885791968465e-10,1.6233969724055441e-10,3.81901399393314e-10,3.8707950733574137e-10,2.811925414736294e-10,1.0070885791968465e-10,3.81901399393314e-10,0,0
9,2.81257267475965e-10,2.2480212136244404e-10,1.0140552286763693e-10,1.6276721637176195e-10,3.8266279034360196e-10,3.87569337734206e-10,2.81257267475965e-10,1.0140552286763693e-10,3.8266279034360196e-10,0,0
10,2.8147983943682675e-10,2.2497834151202767e-10,1.0554496165937621e-10,1.8400700407816828e-10,3.8702480109620296e-10,4.0898534559019595e-10,2.8147983943682675e-10,1.0554496165937621e-10,3.8702480109620296e-10,0,0
