node_id,arrival_rise_s,arrival_fall_s,slack_rise_setup_max_s,slack_fall_setup_max_s,required_rise_setup_max_s,required_fall_setup_max_s,arrival_setup_scalar_s,slack_setup_scalar_s,required_setup_scalar_s,is_arrival_inf,is_slack_inf
0,3.155543881749878e-10,3.1189484328564276e-10,1.833535268058739e-10,1.8006884872079354e-10,4.989079149808617e-10,4.919636920064363e-10,3.155543881749878e-10,1.8006884872079354e-10,4.956232368957814e-10,0,0
1,3.1551569690257963e-10,3.118583447037082e-10,1.833535268058739e-10,1.8006887647636916e-10,4.988692237084535e-10,4.919272211800774e-10,3.1551569690257963e-10,1.8006887647636916e-10,4.955845733789488e-10,0,0
2,3.748001908832066e-10,3.2776156788649757e-10,1.2320883202576738e-10,1.6636506061651346e-10,4.98009022908974e-10,4.94126628503011e-10,3.748001908832066e-10,1.2320883202576738e-10,4.98009022908974e-10,0,0
3,3.747495924688593e-10,3.2771374502971184e-10,1.23208859781343e-10,1.6636503286093784e-10,4.979584522502023e-10,4.940787778906497e-10,3.747495924688593e-10,1.23208859781343e-10,4.979584522502023e-10,0,0
4,3.437249651572216e-10,3.740630305504311e-10,1.5473153314182753e-10,1.2031917129284864e-10,4.984564982990491e-10,4.943822018432797e-10,3.740630305504311e-10,1.2031917129284864e-10,4.943822018432797e-10,0,0
5,3.4370670198846653e-10,3.740459331158519e-10,1.5473153314182753e-10,1.2031917129284864e-10,4.984382351302941e-10,4.943651044087005e-10,3.740459331158519e-10,1.2031917129284864e-10,4.943651044087005e-10,0,0
6,1.9681144214356294e-10,2.0361547170555383e-10,2.1505132397070525e-10,2.108247326715329e-10,4.118627661142682e-10,4.1444020437708673e-10,2.0361547170555383e-10,2.108247326715329e-10,4.1444020437708673e-10,0,0
7,1.966602575231846e-10,2.0346896389966673e-10,2.216325872828051e-10,2.2267152011146152e-10,4.182928448059897e-10,4.2614048401112825e-10,2.0346896389966673e-10,2.216325872828051e-10,4.2510155118247184e-10,0,0
8,1.9494229841487964e-10,2.0183725524258733e-10,2.2949499245417115e-10,2.2497527452092214e-10,4.244372908690508e-10,4.2681252976350947e-10,2.0183725524258733e-10,2.2497527452092214e-10,4.2681252976350947e-10,0,0
9,1.9494726666291484e-10,2.0184008631130013e-10,9.964933045392144e-11,9.323088134838287e-11,2.945965971168363e-10,2.95070967659683e-10,2.0184008631130013e-10,9.323088134838287e-11,2.95070967659683e-10,0,0
10,1.9493485992061466e-10,2.018283318250269e-10,1.7130920293428886e-10,1.810377125988083e-10,3.662440628549035e-10,3.828660444238352e-10,2.018283318250269e-10,1.7130920293428886e-10,3.7313753475931577e-10,0,0
11,1.9570252363099172e-10,2.0255533361712708e-10,2.3245581848296837e-10,2.193200066002987e-10,4.281583421139601e-10,4.218753402174258e-10,2.0255533361712708e-10,2.193200066002987e-10,4.218753402174258e-10,0,0
12,1.9625528979716478e-10,2.0307810988384745e-10,2.3150314998332533e-10,2.1851465081823562e-10,4.277584397804901e-10,4.2159276070208307e-10,2.0307810988384745e-10,2.1851465081823562e-10,4.2159276070208307e-10,0,0
13,1.9647870830308278e-10,2.0328466687757896e-10,2.2569794644322627e-10,2.1514132142463893e-10,4.2217665474630905e-10,4.184259883022179e-10,2.0328466687757896e-10,2.1514132142463893e-10,4.184259883022179e-10,0,0
14,1.965201334996891e-10,2.033225532382943e-10,2.3295726458982813e-10,2.2001192534482072e-10,4.2947739808951724e-10,4.23334478583115e-10,2.033225532382943e-10,2.2001192534482072e-10,4.23334478583115e-10,0,0
15,1.9654740335273146e-10,2.0334735284510685e-10,2.3166786544681628e-10,2.1887693046895862e-10,4.2821526879954774e-10,4.2222428331406547e-10,2.0334735284510685e-10,2.1887693046895862e-10,4.2222428331406547e-10,0,0
